Id. urządzenia,Kod urządzenia,Opis urządzenia,Id. typu urządzenia,Kod typu urządzenia,Kategoria typu urządzenia,Id. obiektu urządzenia,Id. grupy urządzenia,Typ komunikacji,Adres urządzenia,Kod budynku,Status opisu,Stan urządzenia,Kod miasta,Adres GPS urządzenia,Adres IP urządzenia,Instr. urządzenia,Instr. alarm. urządzenia,Instr. urządzenia(param.),Plan_przeglądów,Czas aktualizacji,Id. miasta,Id. budynku,Kod FK urządzenia,Numer urządzenia
5053,LC K20-02 CO,Licznik CO WSP ZNW,17,Licznik CO(O),R,32,543,"MAN,0,0,0,0,CO",1 maja 34,Miasto,A,Praca,Białogard,"54,0110811 15,9833371",,,,,,2017-06-07 15:29,2,1,,
5054,LC K20-03 CO,Licznik CO Dom Młodzieży Rob.,17,Licznik CO(O),R,32,543,"MAN,0,0,0,0,CO",Zamojskiego 9,Miasto,A,Praca,Białogard,"54,0113774 15,9852468",,,,,,2017-06-07 15:29,2,1,,
5055,LC K20-04 CO,Licznik CO BSM/KOCH,17,Licznik CO(O),R,32,543,"BSM,1,7,0,0,CO",Kochanowskiego 10,Miasto,A,Praca,Białogard,"54,0100786 15,9884333",,,,,,2017-06-07 15:29,2,1,,
5056,LC K20-05 CO,Licznik CO BSM/KOCH,17,Licznik CO(O),R,32,543,"BSM,1,120,1,69,CO",Kochanowskiego 12,Miasto,A,Praca,Białogard,"54,0105326 15,9886907",,,,,,2017-06-07 15:29,2,1,,
5057,LC K20-06 CO,Licznik CO BSM/C Biuro,17,Licznik CO(O),R,32,543,"BSM,1,141,1,64,CO",Kochanowskiego 26,Miasto,A,Praca,Białogard,"54,0122474 15,9880470",,,,,,2017-06-07 15:29,2,1,,
5058,LC K20-07 CO,Licznik CO BSM/C ,17,Licznik CO(O),R,32,543,"BSM,1,4,1,49,CO",Kochanowskiego 28,Miasto,A,Praca,Białogard,"54,0125941 15,9879397",,,,,,2017-06-07 15:29,2,1,,
5059,LC K20-08 CO,Licznik CO BSM/KOCH,17,Licznik CO(O),R,32,543,"BSM,1,113,1,67,CO",Kochanowskiego 5,Miasto,A,Praca,Białogard,"54,0100282 15,9896885",,,,,,2017-06-07 15:29,2,1,,
5060,LC K20-09 CO,Licznik CO BSM/PU Biurowiec,17,Licznik CO(O),R,32,543,"MAN,0,0,0,0,CO",Kochanowskiego 6,Miasto,A,Praca,Białogard,"54,0093977 15,9889697",,,,,,2017-06-07 15:29,2,1,,
5061,LC K20-10 CO,Licznik CO BSM/KOCH,17,Licznik CO(O),R,32,543,"BSM,1,114,1,32,CO",Kochanowskiego 7,Miasto,A,Praca,Białogard,"54,0101165 15,9890663",,,,,,2017-06-07 15:29,2,1,,
5062,LC K20-11 CO,Licznik CO BSM/KOCH,17,Licznik CO(O),R,32,543,"BSM,1,8,1,1,CO",Kochanowskiego 8,Miasto,A,Praca,Białogard,"54,0098643 15,9888517",,,,,,2017-06-07 15:29,2,1,,
5063,LC K20-12 CO,Licznik CO BSM/KOCH,17,Licznik CO(O),R,32,543,"BSM,1,115,1,68,CO",Mickiewicza 15,Miasto,A,Praca,Białogard,"54,0107343 15,9881650",,,,,,2017-06-07 15:29,2,1,,
5064,LC K20-13 CO,Licznik CO Urząd Skarbowy,17,Licznik CO(O),R,32,543,"MAN,0,0,0,0,CO",Mickiewicza 3,Miasto,A,Praca,Białogard,"54,0103056 15,9851717",,,,,,2017-06-07 15:29,2,1,,
